Lista com : 99
1 % = +0.010
2 % = +0.020
3 % = +0.030
4 % = +0.040
5 % = +0.050
6 % = +0.060
7 % = +0.070
8 % = +0.080
9 % = +0.090
10 % = +0.100
11 % = +0.110
12 % = +0.120
13 % = +0.130
14 % = +0.140
15 % = +0.150
16 % = +0.160
17 % = +0.170
18 % = +0.180
19 % = +0.190
20 % = +0.200
21 % = +0.210
22 % = +0.220
23 % = +0.230
24 % = +0.240
25 % = +0.250
26 % = +0.260
27 % = +0.270
28 % = +0.280
29 % = +0.290
30 % = +0.300
31 % = +0.310
32 % = +0.320
33 % = +0.330
34 % = +0.340
35 % = +0.350
36 % = +0.360
37 % = +0.370
38 % = +0.380
39 % = +0.390
40 % = +0.400
41 % = +0.410
42 % = +0.420
43 % = +0.430
44 % = +0.440
45 % = +0.450
46 % = +0.460
47 % = +0.470
48 % = +0.480
49 % = +0.490
50 % = +0.500
51 % = +0.510
52 % = +0.520
53 % = +0.530
54 % = +0.540
55 % = +0.550
56 % = +0.560
57 % = +0.570
58 % = +0.580
59 % = +0.590
60 % = +0.600
61 % = +0.610
62 % = +0.620
63 % = +0.630
64 % = +0.640
65 % = +0.650
66 % = +0.660
67 % = +0.670
68 % = +0.680
69 % = +0.690
70 % = +0.700
71 % = +0.710
72 % = +0.720
73 % = +0.730
74 % = +0.740
75 % = +0.750
76 % = +0.760
77 % = +0.770
78 % = +0.780
79 % = +0.790
80 % = +0.800
81 % = +0.810
82 % = +0.820
83 % = +0.830
84 % = +0.840
85 % = +0.850
86 % = +0.860
87 % = +0.870
88 % = +0.880
89 % = +0.890
90 % = +0.900
91 % = +0.910
92 % = +0.920
93 % = +0.930
94 % = +0.940
95 % = +0.950
96 % = +0.960
97 % = +0.970
98 % = +0.980
99 % = +0.990
