Lista com : 99
1 % = +1/100
2 % = +1/50
3 % = +3/100
4 % = +1/25
5 % = +1/20
6 % = +3/50
7 % = +7/100
8 % = +2/25
9 % = +9/100
10 % = +1/10
11 % = +11/100
12 % = +3/25
13 % = +13/100
14 % = +7/50
15 % = +3/20
16 % = +4/25
17 % = +17/100
18 % = +9/50
19 % = +19/100
20 % = +1/5
21 % = +21/100
22 % = +11/50
23 % = +23/100
24 % = +6/25
25 % = +1/4
26 % = +13/50
27 % = +27/100
28 % = +7/25
29 % = +29/100
30 % = +3/10
31 % = +31/100
32 % = +8/25
33 % = +33/100
34 % = +17/50
35 % = +7/20
36 % = +9/25
37 % = +37/100
38 % = +19/50
39 % = +39/100
40 % = +2/5
41 % = +41/100
42 % = +21/50
43 % = +43/100
44 % = +11/25
45 % = +9/20
46 % = +23/50
47 % = +47/100
48 % = +12/25
49 % = +49/100
50 % = +1/2
51 % = +51/100
52 % = +13/25
53 % = +53/100
54 % = +27/50
55 % = +11/20
56 % = +14/25
57 % = +57/100
58 % = +29/50
59 % = +59/100
60 % = +3/5
61 % = +61/100
62 % = +31/50
63 % = +63/100
64 % = +16/25
65 % = +13/20
66 % = +33/50
67 % = +67/100
68 % = +17/25
69 % = +69/100
70 % = +7/10
71 % = +71/100
72 % = +18/25
73 % = +73/100
74 % = +37/50
75 % = +3/4
76 % = +19/25
77 % = +77/100
78 % = +39/50
79 % = +79/100
80 % = +4/5
81 % = +81/100
82 % = +41/50
83 % = +83/100
84 % = +21/25
85 % = +17/20
86 % = +43/50
87 % = +87/100
88 % = +22/25
89 % = +89/100
90 % = +9/10
91 % = +91/100
92 % = +23/25
93 % = +93/100
94 % = +47/50
95 % = +19/20
96 % = +24/25
97 % = +97/100
98 % = +49/50
99 % = +99/100
