Iterações entre number1 * number2: 192
+1.100 * +1 3/5 = +1 19/25
+1.100 * +1 3/6 = +1 13/20
+1.100 * +1 4/5 = +1 49/50
+1.100 * +1 4/6 = +1 5/6
+1.100 * +2 3/5 = +2 43/50
+1.100 * +2 3/6 = +2 3/4
+1.100 * +2 4/5 = +3 2/25
+1.100 * +2 4/6 = +2 14/15
+1.100 * -1 3/5 = -1 19/25
+1.100 * -1 3/6 = -1 13/20
+1.100 * -1 4/5 = -1 49/50
+1.100 * -1 4/6 = -1 5/6
+1.100 * -2 3/5 = -2 43/50
+1.100 * -2 3/6 = -2 3/4
+1.100 * -2 4/5 = -3 2/25
+1.100 * -2 4/6 = -2 14/15
+1.010 * +1 3/5 = +1 77/125
+1.010 * +1 3/6 = +1 103/200
+1.010 * +1 4/5 = +1 409/500
+1.010 * +1 4/6 = +1 41/60
+1.010 * +2 3/5 = +2 313/500
+1.010 * +2 3/6 = +2 21/40
+1.010 * +2 4/5 = +2 207/250
+1.010 * +2 4/6 = +2 52/75
+1.010 * -1 3/5 = -1 77/125
+1.010 * -1 3/6 = -1 103/200
+1.010 * -1 4/5 = -1 409/500
+1.010 * -1 4/6 = -1 41/60
+1.010 * -2 3/5 = -2 313/500
+1.010 * -2 3/6 = -2 21/40
+1.010 * -2 4/5 = -2 207/250
+1.010 * -2 4/6 = -2 52/75
+1.001 * +1 3/5 = +1 376/625
+1.001 * +1 3/6 = +1 1003/2000
+1.001 * +1 4/5 = +1 4009/5000
+1.001 * +1 4/6 = +1 401/600
+1.001 * +2 3/5 = +2 3013/5000
+1.001 * +2 3/6 = +2 201/400
+1.001 * +2 4/5 = +2 2007/2500
+1.001 * +2 4/6 = +2 251/375
+1.001 * -1 3/5 = -1 376/625
+1.001 * -1 3/6 = -1 1003/2000
+1.001 * -1 4/5 = -1 4009/5000
+1.001 * -1 4/6 = -1 401/600
+1.001 * -2 3/5 = -2 3013/5000
+1.001 * -2 3/6 = -2 201/400
+1.001 * -2 4/5 = -2 2007/2500
+1.001 * -2 4/6 = -2 251/375
+2.100 * +1 3/5 = +3 9/25
+2.100 * +1 3/6 = +3 3/20
+2.100 * +1 4/5 = +3 39/50
+2.100 * +1 4/6 = +3 1/2
+2.100 * +2 3/5 = +5 23/50
+2.100 * +2 3/6 = +5 1/4
+2.100 * +2 4/5 = +5 22/25
+2.100 * +2 4/6 = +5 3/5
+2.100 * -1 3/5 = -3 9/25
+2.100 * -1 3/6 = -3 3/20
+2.100 * -1 4/5 = -3 39/50
+2.100 * -1 4/6 = -3 1/2
+2.100 * -2 3/5 = -5 23/50
+2.100 * -2 3/6 = -5 1/4
+2.100 * -2 4/5 = -5 22/25
+2.100 * -2 4/6 = -5 3/5
+2.010 * +1 3/5 = +3 27/125
+2.010 * +1 3/6 = +3 3/200
+2.010 * +1 4/5 = +3 309/500
+2.010 * +1 4/6 = +3 7/20
+2.010 * +2 3/5 = +5 113/500
+2.010 * +2 3/6 = +5 1/40
+2.010 * +2 4/5 = +5 157/250
+2.010 * +2 4/6 = +5 9/25
+2.010 * -1 3/5 = -3 27/125
+2.010 * -1 3/6 = -3 3/200
