Lista com : 180
+3/2 = +1 1/2
+4/3 = +1 1/3
+5/2 = +2 1/2
+5/3 = +1 2/3
+5/4 = +1 1/4
+6/4 = +1 1/2
+6/5 = +1 1/5
+7/2 = +3 1/2
+7/3 = +2 1/3
+7/4 = +1 3/4
+7/5 = +1 2/5
+7/6 = +1 1/6
+8/3 = +2 2/3
+8/5 = +1 3/5
+8/6 = +1 1/3
+8/7 = +1 1/7
+9/2 = +4 1/2
+9/4 = +2 1/4
+9/5 = +1 4/5
+9/6 = +1 1/2
+9/7 = +1 2/7
+9/8 = +1 1/8
-3/2 = -1 1/2
-4/3 = -1 1/3
-5/2 = -2 1/2
-5/3 = -1 2/3
-5/4 = -1 1/4
-6/4 = -1 1/2
-6/5 = -1 1/5
-7/2 = -3 1/2
-7/3 = -2 1/3
-7/4 = -1 3/4
-7/5 = -1 2/5
-7/6 = -1 1/6
-8/3 = -2 2/3
-8/5 = -1 3/5
-8/6 = -1 1/3
-8/7 = -1 1/7
-9/2 = -4 1/2
-9/4 = -2 1/4
-9/5 = -1 4/5
-9/6 = -1 1/2
-9/7 = -1 2/7
-9/8 = -1 1/8
