Lista com : 1800
+0 1/2 = +1/2
+0 1/3 = +1/3
+0 1/4 = +1/4
+0 1/5 = +1/5
+0 1/6 = +1/6
+0 1/7 = +1/7
+0 1/8 = +1/8
+0 1/9 = +1/9
+0 2/3 = +2/3
+0 2/4 = +1/2
+0 2/5 = +2/5
+0 2/6 = +1/3
+0 2/7 = +2/7
+0 2/8 = +1/4
+0 2/9 = +2/9
+0 3/2 = +3/2
+0 3/4 = +3/4
+0 3/5 = +3/5
+0 3/6 = +1/2
+0 3/7 = +3/7
+0 3/8 = +3/8
+0 3/9 = +1/3
+0 4/3 = +4/3
+0 4/5 = +4/5
+0 4/6 = +2/3
+0 4/7 = +4/7
+0 4/8 = +1/2
+0 4/9 = +4/9
+0 5/2 = +5/2
+0 5/3 = +5/3
+0 5/4 = +5/4
+0 5/6 = +5/6
+0 5/7 = +5/7
+0 5/8 = +5/8
+0 5/9 = +5/9
+0 6/4 = +3/2
+0 6/5 = +6/5
+0 6/7 = +6/7
+0 6/8 = +3/4
+0 6/9 = +2/3
+0 7/2 = +7/2
+0 7/3 = +7/3
+0 7/4 = +7/4
+0 7/5 = +7/5
+0 7/6 = +7/6
+0 7/8 = +7/8
+0 7/9 = +7/9
+0 8/3 = +8/3
+0 8/5 = +8/5
+0 8/6 = +4/3
+0 8/7 = +8/7
+0 8/9 = +8/9
+0 9/2 = +9/2
+0 9/4 = +9/4
+0 9/5 = +9/5
+0 9/6 = +3/2
+0 9/7 = +9/7
+0 9/8 = +9/8
+1 1/2 = +3/2
+1 1/3 = +4/3
+1 1/4 = +5/4
+1 1/5 = +6/5
+1 1/6 = +7/6
+1 1/7 = +8/7
+1 1/8 = +9/8
+1 1/9 = +10/9
+1 2/3 = +5/3
+1 2/4 = +3/2
+1 2/5 = +7/5
+1 2/6 = +4/3
+1 2/7 = +9/7
+1 2/8 = +5/4
+1 2/9 = +11/9
+1 3/2 = +5/2
+1 3/4 = +7/4
+1 3/5 = +8/5
+1 3/6 = +3/2
+1 3/7 = +10/7
+1 3/8 = +11/8
+1 3/9 = +4/3
+1 4/3 = +7/3
+1 4/5 = +9/5
+1 4/6 = +5/3
+1 4/7 = +11/7
+1 4/8 = +3/2
+1 4/9 = +13/9
+1 5/2 = +7/2
+1 5/3 = +8/3
+1 5/4 = +9/4
+1 5/6 = +11/6
+1 5/7 = +12/7
+1 5/8 = +13/8
+1 5/9 = +14/9
+1 6/4 = +5/2
+1 6/5 = +11/5
+1 6/7 = +13/7
+1 6/8 = +7/4
+1 6/9 = +5/3
+1 7/2 = +9/2
+1 7/3 = +10/3
+1 7/4 = +11/4
+1 7/5 = +12/5
+1 7/6 = +13/6
+1 7/8 = +15/8
+1 7/9 = +16/9
+1 8/3 = +11/3
+1 8/5 = +13/5
+1 8/6 = +7/3
+1 8/7 = +15/7
+1 8/9 = +17/9
+1 9/2 = +11/2
+1 9/4 = +13/4
+1 9/5 = +14/5
+1 9/6 = +5/2
+1 9/7 = +16/7
+1 9/8 = +17/8
+2 1/2 = +5/2
+2 1/3 = +7/3
+2 1/4 = +9/4
+2 1/5 = +11/5
+2 1/6 = +13/6
+2 1/7 = +15/7
+2 1/8 = +17/8
+2 1/9 = +19/9
+2 2/3 = +8/3
+2 2/4 = +5/2
+2 2/5 = +12/5
+2 2/6 = +7/3
+2 2/7 = +16/7
+2 2/8 = +9/4
+2 2/9 = +20/9
+2 3/2 = +7/2
+2 3/4 = +11/4
+2 3/5 = +13/5
+2 3/6 = +5/2
+2 3/7 = +17/7
+2 3/8 = +19/8
+2 3/9 = +7/3
+2 4/3 = +10/3
+2 4/5 = +14/5
+2 4/6 = +8/3
+2 4/7 = +18/7
+2 4/8 = +5/2
+2 4/9 = +22/9
+2 5/2 = +9/2
+2 5/3 = +11/3
+2 5/4 = +13/4
+2 5/6 = +17/6
