Lista com : 100
+0 = [0]
+1 = [1]
+2 = [2]
+3 = [3]
+4 = [4]
+5 = [5]
+6 = [6]
+7 = [7]
+8 = [8]
+9 = [9]
+10 = [0, 10]
+11 = [1, 10]
+12 = [2, 10]
+13 = [3, 10]
+14 = [4, 10]
+15 = [5, 10]
+16 = [6, 10]
+17 = [7, 10]
+18 = [8, 10]
+19 = [9, 10]
+20 = [0, 20]
+21 = [1, 20]
+22 = [2, 20]
+23 = [3, 20]
+24 = [4, 20]
+25 = [5, 20]
+26 = [6, 20]
+27 = [7, 20]
+28 = [8, 20]
+29 = [9, 20]
+30 = [0, 30]
+31 = [1, 30]
+32 = [2, 30]
+33 = [3, 30]
+34 = [4, 30]
+35 = [5, 30]
+36 = [6, 30]
+37 = [7, 30]
+38 = [8, 30]
+39 = [9, 30]
+40 = [0, 40]
+41 = [1, 40]
+42 = [2, 40]
+43 = [3, 40]
+44 = [4, 40]
+45 = [5, 40]
+46 = [6, 40]
+47 = [7, 40]
+48 = [8, 40]
+49 = [9, 40]
+50 = [0, 50]
+51 = [1, 50]
+52 = [2, 50]
+53 = [3, 50]
+54 = [4, 50]
+55 = [5, 50]
+56 = [6, 50]
+57 = [7, 50]
+58 = [8, 50]
+59 = [9, 50]
+60 = [0, 60]
+61 = [1, 60]
+62 = [2, 60]
+63 = [3, 60]
+64 = [4, 60]
+65 = [5, 60]
+66 = [6, 60]
+67 = [7, 60]
+68 = [8, 60]
+69 = [9, 60]
+70 = [0, 70]
+71 = [1, 70]
+72 = [2, 70]
+73 = [3, 70]
+74 = [4, 70]
+75 = [5, 70]
+76 = [6, 70]
+77 = [7, 70]
+78 = [8, 70]
+79 = [9, 70]
+80 = [0, 80]
+81 = [1, 80]
+82 = [2, 80]
+83 = [3, 80]
+84 = [4, 80]
+85 = [5, 80]
+86 = [6, 80]
+87 = [7, 80]
+88 = [8, 80]
+89 = [9, 80]
+90 = [0, 90]
+91 = [1, 90]
+92 = [2, 90]
+93 = [3, 90]
+94 = [4, 90]
+95 = [5, 90]
+96 = [6, 90]
+97 = [7, 90]
+98 = [8, 90]
+99 = [9, 90]
